type,summary,product,comp,assignee,status,resolution,updated
,Firefox on Ubuntu New Tab crashes        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-07-11    
,Enable FIDO CTAP2 support in Firefox nightly        ,Core        ,DOM: Web Authenticat        ,nobody        ,UNCO        ,---        ,2022-10-26    
,Firefox prompts two master password dialogs during startup        ,Toolkit        ,Password Manager        ,dlee        ,UNCO        ,---        ,2022-09-28    
,Global sharing indicator blocks access to menus in macOS        ,Firefox        ,Site Permissions        ,mconley        ,UNCO        ,---        ,2021-08-28    
,Firefox prioritizes web socket events over location changes        ,Core        ,DOM: Networking        ,nobody        ,UNCO        ,---        ,2021-11-16    
,[e10s-multi] Firefox 55 breaks tabs & session with high number of processes and causes critical dataloss        ,Core        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,show tab favicons immediately        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-28    
,GLib-GObject-CRITICAL starting Firefox        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox 57 video lags when some content loaded in background tab        ,Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,2022-10-11    
,firefox does not load videos fully        ,Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Icon looks pixelated on gnome3        ,Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox developer edition - default browser issue        ,Firefox        ,Shell Integration        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Can no longer scroll the tab bar using touch on win 10 and Firefox beta 57.0b5. Touch scrolling works on Firefox 56.        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,OpenH264 Plugin does not work frequently in firefox 56        ,Core        ,Audio/Video: GMP        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Sidebar state and button 'checked' state get out of sync in new private windows        ,Firefox        ,Toolbars and Customi        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Missing pixels in the corners on maximized window on high-density monitors        ,Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-10    
,firefox quantum slowly closes file uri process (5 seconds)        ,Core        ,DOM: Content Process        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox Quantum Causes Mac OS Intel GPU Spikes        ,Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox doesn't seem to properly support margin expressed as %        ,Core        ,Layout        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Dragged images from Firefox doesn't fully support the File Promise        ,Core        ,Widget: Cocoa        ,nobody        ,UNCO        ,---        ,2022-10-11    
